ngram,freq_fg,relfreq_fg,freq_bg,relfreq_bg,phrase,inform,score
alcohol drive,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol destroys,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol iniinom,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol hehehhe,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol hoarderszzz,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol imbis,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol whahahahahahhahhhaaha,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
alcohol content,1,1.428571429,0,0.000736888,0.134295728,0.108139285,0.242435013
chinese travel,1,2.380952381,1,0.677239262,0.209831293,0.029934077,0.23976537
virus airborne,1,1.5625,0,0.000551989,0.112219219,0.124191725,0.236410944
virus need,1,1.5625,0,0.000551989,0.112219219,0.124191725,0.236410944
virus city,1,1.5625,0,0.000551989,0.110859666,0.124191725,0.235051392
virus vitamin,1,1.5625,0,0.000551989,0.110859666,0.124191725,0.235051392
system fight,1,2.777777778,1,2.369082655,0.229048526,0.00442079,0.233469316
coronavirus chinas,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus palayasin,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus trachea,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus emerged,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus survives,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus floating,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus dr,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus madness,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus aids,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus disinformation,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus mrt,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus awiit,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus gurl,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus sunz,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
coronavirus asf,1,1.333333333,0,0.000364255,0.12350287,0.109404515,0.232907385
alcohol grocery,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
alcohol heart,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
alcohol rizal,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
alcohol pangontra,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
alcohol bag,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
alcohol prayers,1,1.428571429,0,0.000736888,0.124393626,0.108139285,0.232532911
virus time,1,1.5625,0,0.000551989,0.107373048,0.124191725,0.231564774
mo ncov,1,3.125,1,0.744532451,0.183900478,0.044826035,0.228726513
alcohol mean,1,1.428571429,0,0.000736888,0.118601267,0.108139285,0.226740552
alcohol gets,1,1.428571429,0,0.000736888,0.118601267,0.108139285,0.226740552
alcohol pm,1,1.428571429,0,0.000736888,0.118601267,0.108139285,0.226740552
virus sakit,1,1.5625,0,0.000551989,0.101388794,0.124191725,0.22558052
coronavirus lazaro,1,1.333333333,0,0.000364255,0.114260907,0.109404515,0.223665423
coronavirus folks,1,1.333333333,0,0.000364255,0.114260907,0.109404515,0.223665423
coronavirus meaning,1,1.333333333,0,0.000364255,0.114260907,0.109404515,0.223665423
coronavirus madali,1,1.333333333,0,0.000364255,0.114260907,0.109404515,0.223665423
coronavirus immediately,1,1.333333333,0,0.000364255,0.114260907,0.109404515,0.223665423
virus dont,1,1.5625,0,0.000551989,0.097620637,0.124191725,0.221812363
alcohol anti,1,1.428571429,0,0.000736888,0.111303758,0.108139285,0.219443043
alcohol used,1,1.428571429,0,0.000736888,0.111303758,0.108139285,0.219443043
chinese government,1,2.380952381,1,0.677239262,0.188986799,0.029934077,0.218920876
ncov yan,5,3.105590062,6,1.042905215,0.184569045,0.033887995,0.21845704
coronavirus moment,1,1.333333333,0,0.000364255,0.108854706,0.109404515,0.218259221
coronavirus carrier,1,1.333333333,0,0.000364255,0.108854706,0.109404515,0.218259221
alcohol kill,1,1.428571429,0,0.000736888,0.108699164,0.108139285,0.216838449
alcohol sanitize,1,1.428571429,0,0.000736888,0.106497012,0.108139285,0.214636297
alcohol go,1,1.428571429,0,0.000736888,0.106497012,0.108139285,0.214636297
alcohol inside,1,1.428571429,0,0.000736888,0.106497012,0.108139285,0.214636297
alcohol bahay,1,1.428571429,0,0.000736888,0.106497012,0.108139285,0.214636297
alcohol nasa,1,1.428571429,0,0.000736888,0.10458942,0.108139285,0.212728705
coronavirus deadly,1,1.333333333,0,0.000364255,0.102043698,0.109404515,0.211448213
coronavirus away,1,1.333333333,0,0.000364255,0.102043698,0.109404515,0.211448213
virus yan,2,3.125,18,3.496645739,0.214746097,-0.003511558,0.211234538
alcohol muna,1,1.428571429,0,0.000736888,0.102906806,0.108139285,0.211046091
alcohol iwas,1,1.428571429,0,0.000736888,0.100040081,0.108139285,0.208179366
chinese patient,1,2.380952381,3,2.180998661,0.205490304,0.002088517,0.20757882
yan covid,1,3.333333333,2,2.043644635,0.191133484,0.016307933,0.207441418
alcohol fight,1,1.428571429,0,0.000736888,0.098797062,0.108139285,0.206936347
alcohol prevent,1,1.428571429,0,0.000736888,0.097653595,0.108139285,0.20579288
coronavirus sobrang,1,1.333333333,0,0.000364255,0.095776983,0.109404515,0.205181498
alcohol keep,1,1.428571429,0,0.000736888,0.096594909,0.108139285,0.204734194
chinese china,1,2.380952381,1,0.677239262,0.174554994,0.029934077,0.204489071
coronavirus get,1,1.333333333,0,0.000364255,0.092801735,0.109404515,0.20220625
